titre,aut.nom,prix
"History Boys, The",Phlippsen,"37,70"
De-Lovely,Fassman,"42,75"
Carlos,St. Quintin,"78,35"
"Hunting and Gathering (Ensemble, c'est tout)",Gregoraci,"23,47"
"Bamba, La",Parratt,"57,88"
I Don't Want to Be a Man (Ich maechte kein Mann sein),Seller,"75,60"
Damn Yankees!,Degue,"77,44"
Planet B-Boy,Corriea,"14,19"
"Source, The",Lared,"27,83"
Brothers at War,Bullimore,"58,98"
Sparrows,Garlinge,"39,20"
"President's Last Bang, The (Geuddae geusaramdeul)",Boler,"74,78"
Dr. Jekyll and Mr. Hyde,Gaw,"12,92"
Pokmon: The First Movie,Sainte Paul,"19,85"
Gabbeh,Izacenko,"93,96"
I Married A Strange Person!,Placidi,"69,56"
Telstar: The Joe Meek Story,Penton,"10,99"
With a Song in My Heart,Urwin,"79,38"
Rembrandt,Quigley,"55,94"
Terror is a Man,Rushmere,"19,57"
"Count Yorga, Vampire",Giovannazzi,"45,94"
Missionary,Durtnell,"62,33"
"District, The (Nyacker!)",Goaks,"50,64"
Hippie Masala - Forever in India,Lamberti,"12,84"
Young & Beautiful,Vallerine,"41,82"
"Big Lebowski, The",Milbourne,"32,44"
Baxter,Iacovozzo,"96,03"
Silent Night,Chappel,"48,92"
Returner (Ritaanaa),Fanthome,"13,24"
Chances Are,Saltwell,"45,09"
Me and Earl and the Dying Girl,Goscar,"11,49"
Unborn in the USA: Inside the War on Abortion,Bahde,"28,41"
Bummer (Bumer),Taffie,"19,45"
"Mummy, The",Challiss,"75,30"
Young Ones,Prandoni,"49,17"
Mishen (Target),Forrest,"77,14"
"When Time Ran Out... (Day the World Ended, The)",Pine,"20,52"
Magic Magic,Broadhurst,"84,67"
"Conspiracy, The",Aleksich,"39,85"
"Organization, The",Caplis,"30,56"
The Puzzle,Brooker,"80,72"
"Sticky Fingers of Time, The",Bernocchi,"40,06"
Empire of the Wolves (L'empire des loups),Klejna,"56,25"
After Porn Ends,Parades,"20,64"
Marlowe,Lloyd-Williams,"16,36"
TINY: A Story About Living Small,Shippam,"70,64"
They Call Me Trinity,Libbey,"70,47"
Tasting Menu,Grealy,"24,39"
Rid of Me,Tathacott,"78,82"
Ronal the Barbarian,Seabrook,"73,94"
American Roulette,Caudle,"18,96"
"Eye for an Eye, An",Lifton,"50,12"
Sexual Life,Tunney,"94,03"
Populaire,Jenk,"43,94"
Bush's Brain,Allingham,"68,61"
Maternal Halfbrothers (Braca po materi),Taggart,"39,95"
In Therapy (Diva),Geydon,"11,04"
Halloween II,Dawltrey,"81,14"
Clerks II,Bouchard,"15,42"
Fritz the Cat,Quigg,"98,48"
Nanayo (Nanayomachi),Grist,"83,50"
Monkeybone,Royle,"19,76"
Quartier Mozart,Stonebridge,"22,14"
Laurence Anyways,Burndred,"55,98"
"Hurricane, The",Siemianowicz,"63,12"
"Slender Thread, The",Keuning,"93,09"
Boys Don't Cry (Chlopaki nie placza),Stuttard,"19,23"
Deathstalker,Swaite,"68,42"
Melinda and Melinda,Creaney,"77,79"
Sprung,Joburn,"37,76"
Sittin' on a Backyard Fence,Wilbud,"10,73"
To Each His Own,Robinson,"17,15"
Tales from the Crypt Presents: Demon Knight,Hupka,"85,01"
"Public Eye, The (Follow Me!)",Merrick,"82,08"
Broken Kingdom,Krojn,"84,26"
Support Your Local Sheriff!,Suatt,"44,46"
"Good Marriage, A (Beau mariage, Le)",Truesdale,"59,56"
Norwegian Ninja,Wrathall,"34,56"
Memories of Matsuko (Kiraware Matsuko no issha),Sommerlie,"40,37"
Yesterday Girl (Abschied von gestern - Anita G.),Byllam,"15,36"
"Last Blitzkrieg, The",Ratazzi,"48,70"
Wyvern,Ruseworth,"78,90"
Distance,Christol,"41,02"
Disraeli,Callender,"24,29"
"Day Without a Mexican, A",Jean,"29,55"
Wasabi,Crowd,"86,89"
Josephine,Harme,"51,82"
"Frisco Kid, The",Hillam,"25,94"
"Claim, The",Stiegar,"59,88"
A Night in the Show,Brehaut,"91,97"
Charlie's Country,Reubel,"54,90"
Lover Come Back,Duffell,"67,88"
Killer: A Journal of Murder,Lappin,"95,00"
"Snake of June, A (Rokugatsu no hebi)",Banville,"98,97"
Rich and Famous,Domniney,"25,42"
Passed Away,Toothill,"91,65"
One-Eyed Monster,Fall,"27,11"
"Dinner Guest, The (L'invit)",Gilhespy,"14,73"
Original Gangstas,Worlidge,"43,02"
Impy's Island,Pridmore,"24,42"
"Crimson Rivers 2: Angels of the Apocalypse (Rivires pourpres II - Les anges de l'apocalypse, Les)",Glaister,"47,74"
Madame Butterfly,Clare,"14,23"
"Face of Another, The (Tanin no kao)",Dilger,"46,06"
Sleepover,Sparry,"86,21"
Easy Money,Uzzell,"21,73"
Mr. Destiny,Penrice,"77,56"
"High and the Mighty, The",MacGillreich,"15,43"
Happy Times (Xingfu shiguang),Winston,"89,96"
Lightnin',Christoffels,"69,74"
The Runner from Ravenshead,Chalker,"60,53"
Dying Young,MacAloren,"67,22"
Wisdom,Heaven,"87,75"
His Brother (Son frre),De Domenico,"78,49"
Blood and Roses (Et mourir de plaisir) (To Die with Pleasure),Grigor,"91,04"
Caught,Hinckes,"25,27"
Harry Potter and the Order of the Phoenix,Luetkemeyers,"83,57"
Coonskin,O'Henecan,"47,03"
Yesterday's Enemy,Putt,"25,80"
City Under Siege (Chun sing gai bei),Liddard,"24,84"
Nine Lives,Rewbottom,"28,62"
12 Years a Slave,Polding,"21,82"
Aurora,Hackin,"40,26"
Parallels,Sansam,"43,86"
Two Sons of Francisco (2 Filhos de Francisco - A Histaria de Zez di Camargo & Luciano),Glaves,"81,88"
Loch Ness,Bess,"37,01"
"Golem, The (Golem, wie er in die Welt kam, Der)",Poxon,"73,19"
Juvenile Court,Winsiowiecki,"25,43"
If I Were King,Gross,"35,06"
"Hebrew Hammer, The",Angrave,"71,63"
Von Ryan's Express,Cavalier,"98,57"
McKenna Shoots for the Stars,Wilcockes,"76,88"
Joyful Noise,Perrone,"39,80"
Yi Yi,Ifill,"58,33"
Comfort and Joy,Marques,"95,23"
"Gentle Woman, A (Une femme douce)",Sich,"85,07"
Alone in the Dark,Hare,"83,34"
Knife in the Water (Naz w wodzie),Mapletoft,"54,77"
"Kiss Me, Stupid",Frail,"98,94"
"Cat Came Back, The",Brussell,"26,53"
"Ranma ½: Big Trouble in Nekonron, China (Ranma ½: Chagoku Nekonron daikessen! Okite yaburi no gekita hen)",Tankin,"60,43"
Face to Face (Faccia a faccia),Barhams,"61,90"
World Trade Center,Sandaver,"53,15"
My Life,Godfery,"59,23"
Tex,Isac,"20,53"
"Football Factory, The",Schmuhl,"79,94"
Lucky Numbers,Wedmore,"86,42"
Cinderella III: A Twist in Time,Veregan,"19,76"
Don McKay,Weiner,"18,05"
"First Nudie Musical, The",Dines,"74,93"
Dead Snow 2: Red vs. Dead ,Eades,"73,97"
Young Man with a Horn,Tregent,"72,49"
Fool for Love,Clardge,"54,37"
Shadows in Paradise (Varjoja paratiisissa),MacRanald,"18,21"
Lolita,Jorio,"76,83"
"Prophecy, The",Kordovani,"44,15"
Barabbas,Casolla,"75,45"
Under the Yum Yum Tree,Jumel,"64,04"
Blind Faith,Rudkin,"84,76"
"Ranma ½: Big Trouble in Nekonron, China (Ranma ½: Chagoku Nekonron daikessen! Okite yaburi no gekita hen)",Pedley,"98,43"
"Brave Little Toaster, The",Ragborne,"57,59"
"Jerk Theory, The",Tatum,"62,75"
200 Cigarettes,Truder,"30,99"
Stigmata,Priden,"64,83"
Shallow Hal,Edy,"48,23"
Main Street,Ruston,"16,50"
Open Hearts (Elsker dig for evigt),Veel,"81,58"
Look Who's Talking Now,Keiley,"60,95"
Bad Santa,Hayzer,"37,38"
"Mask of Zorro, The",Newcom,"42,46"
"Kid, The",Woodington,"91,63"
Another Thin Man,Jenoure,"63,36"
School of Rock,Oneill,"52,46"
Missile to the Moon,Jagger,"27,75"
"Halloween Tree, The",Rosa,"63,40"
Blue State,Walklett,"25,07"
"Edge of the World, The",Crafts,"67,68"
Terminal Velocity,Petrushkevich,"91,22"
Chill Out! (Desconglate!),Agnew,"33,85"
Salut cousin!,Cerie,"80,42"
Photographing Fairies,McCrachen,"13,17"
"Myth of the American Sleepover, The",Cobelli,"65,08"
Chronicle of My Mother (Waga haha no ki),Zambon,"62,95"
Dead on Time,Mussolini,"35,34"
Detention,Devonald,"87,96"
"Beast of War, The (Beast, The)",Marcoolyn,"84,61"
"Paperboy, The",Dencs,"12,09"
PoliWood,Dutt,"56,97"
"Man on the Roof, The (Mannen po taket)",Melling,"97,19"
"Big Tease, The",Eubank,"14,27"
Nora,Spiring,"64,78"
Flame and Citron (Flammen & Citronen),Wozencroft,"73,94"
Men Cry Bullets,Paige,"40,97"
Day of the Dead,Benedicto,"21,32"
Rough Riders,MacIlhargy,"93,75"
1911 (Xinhai geming),Hearnaman,"12,04"
New Best Friend,Philps,"97,28"
"Story of Louis Past, The",Meale,"74,38"
Undefeated,Matusson,"29,46"
Relative Strangers,Coldwell,"17,69"
My Architect: A Son's Journey,Grzelewski,"81,84"
Weird Woman,Dunwoody,"93,80"
Snow on Tha Bluff,Probet,"78,78"
Scattered Clouds (Midaregumo),Wanklyn,"34,94"
Botched,Drance,"32,37"
Ironclad,Lenton,"82,67"
Internes Can't Take Money,Conway,"69,80"
Pigsty (Porcile),Drewell,"17,22"
Pardes,Kubacek,"74,51"
Hide and Seek,Sieghard,"67,18"
Sixty Six,Figiovanni,"93,61"
Princesas,Wasselin,"32,79"
Action in the North Atlantic,Drynan,"29,42"
JCVD,Gligorijevic,"22,59"
I'm Here,Boldero,"62,35"
Bob the Butler,Bannon,"25,41"
"Cars That Ate Paris, The",Shee,"38,05"
Sweet November,Townsley,"98,28"
Kumail Nanjiani: Beta Male ,Awmack,"30,42"
Heroic Cops (Jing wang shuang xiong),Clawe,"60,68"
Sirens,L' Estrange,"76,24"
Milarepa,Kastel,"91,19"
Normal Life,Episcopio,"86,03"
Diggstown,Rawdales,"70,07"
Reservation Road,Dugdale,"47,53"
Mr. Wonderful,Trillo,"69,59"
West of Zanzibar,Lowder,"56,86"
Dara a Briain Talks Funny: Live in London,Spoure,"92,60"
Trick or Treat,Bloyes,"86,36"
See No Evil,Habble,"92,99"
Pink Floyd: The Wall,Burnhill,"35,93"
Skyscraper Souls,Lanceley,"72,68"
Plankton,Scudders,"61,82"
Land,Ginie,"94,04"
"White Cliffs of Dover, The",Audibert,"71,54"
Demons 2 (Dmoni 2... l'incubo ritorna),Bark,"56,06"
My Own Man,Kleint,"66,61"
Hitler's Madman,Kirsche,"45,63"
$ellebrity (Sellebrity),Dewsbury,"12,98"
Kagera-za,Patemore,"21,80"
J.C. Chvez (a.k.a. Chavez),Delwater,"22,27"
Gerontophilia,Cornfield,"36,50"
Shadowboxer,Kleinhaus,"24,76"
"Mudge Boy, The",Goalley,"28,52"
"Raven, The",Rillatt,"83,41"
Jungle Holocaust (Ultimo mondo cannibale),Lowdham,"56,84"
"Dog of Flanders, A",Adair,"38,28"
"Lost Honor of Katharina Blum, The (Verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie fahren kann, Die)",Woodburn,"25,28"
Man of Aran,Challicombe,"73,65"
Satanas,Blasl,"58,34"
Black Girl (La noire de...),Piegrome,"11,48"
Relative Fear,Ivashchenko,"33,19"
Kung Fu Panda Holiday Special,Hardstaff,"83,06"
Edward II,Tyt,"74,98"
Sione's Wedding (Samoan Wedding),Goare,"76,19"
Little Witches,Durnford,"85,16"
"Caine Mutiny, The",Petersen,"74,02"
"Dark Angel: Ascent, The",MacKniely,"30,52"
Lolita,Vasyatkin,"85,06"
Shakespeare-Wallah,Hestrop,"34,63"
Ministry of Fear,Bunnell,"30,51"
Slipstream,Liptrod,"63,05"
Zandalee,Blessed,"26,41"
"Dirt Bike Kid, The",Cutteridge,"23,61"
Hot to Trot,Kerner,"74,54"
"Three Stooges in Orbit, The",Vankov,"71,79"
Moon Child,Lainge,"28,06"
"Last Unicorn, The",Strowther,"47,38"
Cobra,Binder,"84,39"
"Grand, The",Ecclestone,"89,21"
Journey to the Center of the Earth,Milliere,"88,49"
Here Without Me (Inja bedoone man),Beachem,"70,37"
Latitude Zero (Ido zero daisakusen),Bulbeck,"57,33"
"Apartment, The (Appartement, L')",Burras,"71,97"
Senseless,Alesin,"25,52"
Standing Up,Mitford,"38,67"
Patriot Games,Dawley,"42,03"
Interview with the Assassin,Trollope,"58,34"
"Group, The",Stott,"50,22"
Fire Birds,Tassel,"59,59"
West (Occident),Chilvers,"50,30"
Suicide Manual (Jisatsu manyaru),Ades,"62,52"
Top Floor Left Wing (Dernier tage gauche gauche),Everiss,"16,79"
Hot Shots! Part Deux,Golledge,"56,92"
Adam,Cammocke,"24,87"
Firecreek,Crosscombe,"41,13"
Yesterday,Somerfield,"78,89"
Winter's Tale,Hendrickson,"50,98"
I Saw the Devil (Akmareul boatda),Maylour,"80,05"
King Kong,MacGovern,"63,72"
"Expendables 2, The",Cicero,"40,95"
Starry starry night (Xing kong),Chastanet,"29,68"
The Wrecking Crew,Livzey,"65,74"
Charleston,Wyvill,"32,78"
"All the Way Boys (Pian forte, ragazzi!)",Brookson,"97,70"
"One-Armed Swordsman, The (Dubei dao)",Gordge,"63,65"
Two Solutions for One Problem (Dow Rahehal Baraye yek Massaleh),Faunch,"25,10"
Green Dragon,Barczynski,"36,77"
One Chance,Featherstonhaugh,"19,85"
"Dawn Patrol, The (Flight Commander)",Jobes,"90,87"
Brides of Dracula,Leve,"26,67"
In Her Shoes,Spragg,"27,32"
"Stoplight Society, The (La Sociedad del Semforo)",Elsy,"71,25"
Battles Without Honor & Humanity (Jingi naki tatakai),Maith,"67,71"
Appleseed (Appurushado),Gritsaev,"22,44"
"Quest, The",Kliment,"93,74"
"Concert, Le",Pieters,"43,79"
Pete Seeger: The Power of Song,Daintrey,"36,10"
H6: Diario de un asesino,Koppeck,"35,94"
"Gentle Breeze in the Village, A (Tennen kokekka) ",Bynold,"60,68"
From Paris with Love,Watkiss,"83,24"
Pooh's Heffalump Movie,Garment,"13,21"
"Marshland (Isla manima, La)",Davers,"89,83"
"Great Ecstasy of Robert Carmichael, The",Penner,"84,65"
City of Joy,Dutnell,"17,14"
Days and Nights,Sparey,"19,88"
Yentl,Leicester,"89,81"
The Castle of Fu Manchu,Clendennen,"39,99"
Fools Rush In,McIlhatton,"38,79"
Fiorile,Lowell,"97,98"
Naan Kadavul,Ainscough,"93,15"
Sidestreet,MacKomb,"57,33"
Spider,Braunter,"91,42"
Prisoners of the Lost Universe,Ciraldo,"10,19"
"Study in Scarlet, A",Darker,"76,95"
Leprechaun 3,Heathwood,"77,08"
"Day After Trinity, The",Cumpsty,"59,47"
Backfire,Lafay,"10,94"
Ned Kelly,Vargas,"23,76"
Our Summer in Provence,Raith,"26,92"
"Stars Look Down, The",Gadault,"35,96"
"Family Game, The (Kazoku gamu)",Zincke,"90,61"
"Sun Also Rises, The (Tai yang zhao chang sheng qi)",Eidler,"68,63"
Soylent Green,McWard,"15,24"
Flannel Pajamas,Zamboniari,"48,50"
Du cat de la cate,MacGilrewy,"45,30"
The Magic Box,Dottridge,"97,13"
"Dying Swan, The (Umirayushchii lebed)",Marcone,"34,36"
"Tomorrow, When the War Began",Lumsden,"34,09"
Thirst (Bakjwi),Ottee,"11,77"
Restless Blood (Levoton veri),Davidesco,"12,22"
"Great Yokai War, The (Yakai daisensa)",Kenningham,"88,08"
And the Ship Sails On (E la nave va),O'Carran,"89,99"
Maria (Mariya),Tricker,"39,04"
Animals are Beautiful People,Debenham,"77,52"
Camp de Thiaroye,Brinkley,"40,38"
Josephine,Cavill,"80,82"
Chain Camera,Ivermee,"17,62"
8 Million Ways to Die,Yaus,"50,57"
Hunter Prey,Dearan,"48,11"
Loser Takes All! (Qui perd gagne !),Denley,"24,31"
"Big Country, The",McCroft,"17,80"
Trigun: Badlands Rumble,Springtorp,"27,66"
"Room with a View, A",Mulcahy,"41,57"
Klown: The Movie (Klovn),Sansun,"74,05"
Victory (a.k.a. Escape to Victory),Disdel,"36,88"
Red State,Sheldon,"41,02"
Jeffrey,Robotham,"36,85"
Butterflies Are Free,Faier,"66,36"
Tinseltown,Noton,"28,12"
Holy Wars,Southerill,"70,20"
"Hello, Friend",Blunn,"29,29"
Law and Order,Summerhayes,"59,81"
"Sing a Song of Sex (Treatise on Japanese Bawdy Songs, A) (Nihon shunka-ka)",McRitchie,"35,59"
Tales of the Grim Sleeper,Felstead,"49,35"
They Call Me Renegade,Moniker,"41,69"
City Slickers,Staines,"92,67"
The Death and Life of Bobby Z,Warsap,"45,54"
Godzilla vs. King Ghidorah (Gojira vs. Kingu Gidora),Lockyer,"66,39"
Jerichow,Crowley,"39,49"
"Shape of Things to Come, The",Cryer,"96,21"
Street Mobster (a.k.a. Modern Yakuza: Outlaw Killer) (Gendai yakuza: hito-kiri yota),Woollard,"41,23"
Elena and Her Men (Paris Does Strange Things) (Elena et les hommes),Launchbury,"62,33"
John Q,Rippen,"69,84"
Battle of the Bulge,Shapcote,"53,95"
"Chocolate Soldier, The",Toolin,"96,78"
Even Money,Calloway,"21,32"
Miss Firecracker,Swindle,"51,64"
Neo Ned,Buckston,"17,47"
Guns at Batasi,Hargrave,"66,00"
Intimate Strangers (Confidences trop intimes),Maryin,"88,63"
Christmas Vacation (National Lampoon's Christmas Vacation),Arthurs,"22,69"
Manhunt,Sillick,"15,51"
Murder by Proxy: How America Went Postal,Pennrington,"98,75"
Terms and Conditions May Apply,Klesse,"43,78"
Butterfly Kiss,Slate,"86,06"
Tammy,Cadore,"97,74"
At First Sight,Hallen,"48,98"
Santa Who?,Bergin,"84,16"
Rambo (Rambo 4),Hosburn,"55,71"
Gunbuster (Top wo Narae),De Santos,"39,48"
Grosse Pointe Blank,Janczyk,"57,08"
Diner,St. John,"73,12"
Black Sunday,Muino,"62,47"
Indiana Jones and the Temple of Doom,Bartolomeo,"30,84"
Stander,Quin,"59,26"
Rio Lobo,O'Cahill,"30,45"
Triple Agent,Anmore,"13,75"
Midnight Express,Giovannacci,"23,13"
